Number,Abbreviation,State
56,WY,Wyoming
42,PA,Pennsylvania
39,OH,Ohio
35,NM,New Mexico
24,MD,Maryland
44,RI,Rhode Island
41,OR,Oregon
72,PR,Puerto Rico
55,WI,Wisconsin
38,ND,North Dakota
32,NV,Nevada
13,GA,Georgia
36,NY,New York
05,AR,Arkansas
20,KS,Kansas
31,NE,Nebraska
49,UT,Utah
02,AK,Alaska
28,MS,Mississippi
40,OK,Oklahoma
54,WV,West Virginia
26,MI,Michigan
08,CO,Colorado
34,NJ,New Jersey
10,DE,Delaware
30,MT,Montana
53,WA,Washington
09,CT,Connecticut
06,CA,California
21,KY,Kentucky
25,MA,Massachusetts
12,FL,Florida
16,ID,Idaho
29,MO,Missouri
15,HI,Hawaii
01,AL,Alabama
45,SC,South Carolina
33,NH,New Hampshire
46,SD,South Dakota
17,IL,Illinois
47,TN,Tennessee
18,IN,Indiana
19,IA,Iowa
04,AZ,Arizona
27,MN,Minnesota
22,LA,Louisiana
11,DC,District of Columbia
51,VA,Virginia
48,TX,Texas
50,VT,Vermont
23,ME,Maine
37,NC,North Carolina
